Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,Date first added,CIK,Founded,Wikipedia Company Page URL,Company Name
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",3/20/2017,1035443,1994,https://en.wikipedia.org/wiki/Alexandria_Real_Estate_Equities,Alexandria Real Estate Equities
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",5/25/2012,899866,1992,https://en.wikipedia.org/wiki/Alexion_Pharmaceuticals,Alexion Pharmaceuticals
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",6/19/2017,1097149,1997,https://en.wikipedia.org/wiki/Align_Technology,Align Technology
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241,1908,https://en.wikipedia.org/wiki/Allegion,Allegion
AGN,"Allergan, plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",4/12/1999,1578845,1983,"https://en.wikipedia.org/wiki/Allergan,_plc",Allergan
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,352541,1917,https://en.wikipedia.org/wiki/Alliant_Energy_Corp,Alliant Energy
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",7/13/1995,899051,1931,https://en.wikipedia.org/wiki/Allstate_Corp,Allstate
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",,764180,1985,https://en.wikipedia.org/wiki/Altria_Group_Inc,Altria
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",11/18/2005,1018724,1994,https://en.wikipedia.org/wiki/Amazon.com_Inc.,Amazon
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,1748790,,https://en.wikipedia.org/wiki/Amcor_plc,Amcor
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/1991,1002910,1902,https://en.wikipedia.org/wiki/Ameren_Corp,Ameren
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",3/23/2015,6201,1934,https://en.wikipedia.org/wiki/American_Airlines_Group,American Airlines Group
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",,4904,1906,https://en.wikipedia.org/wiki/American_Electric_Power,American Electric Power
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",6/30/1976,4962,1850,https://en.wikipedia.org/wiki/American_Express_Co,American Express
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272,1919,https://en.wikipedia.org/wiki/American_International_Group,American International Group
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",11/19/2007,1053507,1995,https://en.wikipedia.org/wiki/American_Tower_Corp.,American Tower
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1410636,1886,https://en.wikipedia.org/wiki/American_Water_Works,American Water
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",10/3/2005,820027,1894,https://en.wikipedia.org/wiki/Ameriprise_Financial,Ameriprise Financial
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/2001,1140859,1985,https://en.wikipedia.org/wiki/AmerisourceBergen_Corp,AmerisourceBergen
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",9/23/2013,1037868,1930,https://en.wikipedia.org/wiki/AMETEK_Inc.,Ametek
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154,1980,https://en.wikipedia.org/wiki/Amgen_Inc.,Amgen
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",9/30/2008,820313,1932,https://en.wikipedia.org/wiki/Amphenol_Corp,Amphenol
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",10/12/1999,6281,1965,"https://en.wikipedia.org/wiki/Analog_Devices,_Inc.",Analog Devices
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",6/19/2017,1013462,1969,https://en.wikipedia.org/wiki/ANSYS,Ansys
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",4/23/1996,315293,1982 (1919),https://en.wikipedia.org/wiki/Aon_plc,Aon
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",7/28/1997,6769,1954,https://en.wikipedia.org/wiki/Apache_Corporation,Apache
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",11/30/1982,320193,1977,https://en.wikipedia.org/wiki/Apple_Inc.,Apple Inc.
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",3/16/1995,6951,1967,https://en.wikipedia.org/wiki/Applied_Materials_Inc.,Applied Materials
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",12/24/2012,1521332,1994,https://en.wikipedia.org/wiki/Aptiv_PLC,Aptiv
ARNC,Arconic Inc.,reports,Industrials,Aerospace & Defense,"New York, New York",3/31/1964,4281,2016,https://en.wikipedia.org/wiki/Arconic_Inc.,Arconic
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",8/28/2018,1596532,2004,https://en.wikipedia.org/wiki/Arista_Networks,Arista Networks
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",5/31/2016,354190,,https://en.wikipedia.org/wiki/Arthur_J._Gallagher_%26_Co.,Arthur J. Gallagher & Co.
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",4/10/2007,1267238,,https://en.wikipedia.org/wiki/Assurant,Assurant
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",11/30/1983,732717,1983,https://en.wikipedia.org/wiki/AT%26T_Inc.,AT&T
ATO,Atmos Energy Corp,reports,Utilities,Gas Utilities,"Dallas, Texas",2/15/2019,731802,1906,https://en.wikipedia.org/wiki/Atmos_Energy_Corp,Atmos Energy
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397,,https://en.wikipedia.org/wiki/Autodesk_Inc.,Autodesk
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,866787,,https://en.wikipedia.org/wiki/AutoZone_Inc,AutoZone
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",1/10/2007,915912,,"https://en.wikipedia.org/wiki/AvalonBay_Communities,_Inc.",AvalonBay Communities
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818,,https://en.wikipedia.org/wiki/Avery_Dennison_Corp,Avery Dennison
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,1701605,2017,https://en.wikipedia.org/wiki/Baker_Hughes,Baker Hughes
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389,,https://en.wikipedia.org/wiki/Ball_Corp,Ball Corporation
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",6/30/1976,70858,,https://en.wikipedia.org/wiki/Bank_of_America_Corp,Bank of America
LB,L Brands Inc.,reports,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,701985,,https://en.wikipedia.org/wiki/L_Brands_Inc.,"Bath & Body Works, Inc."
BAX,Baxter International Inc.,reports,Health Care,Health Care Equipment,"Deerfield, Illinois",9/30/1972,10456,1931,https://en.wikipedia.org/wiki/Baxter_International_Inc.,Baxter International
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",9/30/1972,10795,1897,https://en.wikipedia.org/wiki/Becton_Dickinson,BD
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2/16/2010,1067983,,https://en.wikipedia.org/wiki/Berkshire_Hathaway,Berkshire Hathaway
BBY,Best Buy Co. Inc.,reports,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",6/29/1999,764478,,https://en.wikipedia.org/wiki/Best_Buy_Co._Inc.,Best Buy
BIIB,Biogen Inc.,reports,Health Care,Biotechnology,"Cambridge, Massachusetts",11/13/2003,875045,,https://en.wikipedia.org/wiki/Biogen_Inc.,Biogen
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1364742,,https://en.wikipedia.org/wiki/BlackRock,BlackRock
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",3/31/1995,1390777,,https://en.wikipedia.org/wiki/The_Bank_of_New_York_Mellon_Corp.,BNY Mellon
BA,Boeing Company,reports,Industrials,Aerospace & Defense,"Chicago, Illinois",,12927,1916,https://en.wikipedia.org/wiki/Boeing_Company,Boeing
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",12/19/2011,908255,,https://en.wikipedia.org/wiki/BorgWarner,BorgWarner
BXP,Boston Properties,reports,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1037540,,https://en.wikipedia.org/wiki/Boston_Properties,Boston Properties
BSX,Boston Scientific,reports,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",2/24/1995,885725,,https://en.wikipedia.org/wiki/Boston_Scientific,Boston Scientific
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",12/23/2013,1101215,1996,https://en.wikipedia.org/wiki/Alliance_Data_Systems,Bread Financial
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors,"New York, New York",,14272,1989,https://en.wikipedia.org/wiki/Bristol-Myers_Squibb,Bristol Myers Squibb
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1730168,,https://en.wikipedia.org/wiki/Broadcom_Inc.,Broadcom Inc.
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/2018,1383312,1962,https://en.wikipedia.org/wiki/Broadridge_Financial_Solutions,Broadridge Financial Solutions
BF.B,Brown-Forman Corp.,reports,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",10/31/1982,14693,,https://en.wikipedia.org/wiki/Brown-Forman_Corp.,Brown–Forman
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1043277,,https://en.wikipedia.org/wiki/C._H._Robinson_Worldwide,C. H. Robinson
CDNS,Cadence Design Systems,reports,Information Technology,Application Software,"San Jose, California",9/18/2017,813672,,https://en.wikipedia.org/wiki/Cadence_Design_Systems,Cadence Design Systems
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",,16732,1869,https://en.wikipedia.org/wiki/Campbell_Soup,Campbell Soup Company
COF,Capital One Financial,reports,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,927628,1935,https://en.wikipedia.org/wiki/Capital_One_Financial,Capital One
CPRI,Capri Holdings,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",11/13/2013,1530721,,https://en.wikipedia.org/wiki/Capri_Holdings,Capri Holdings
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/1997,721371,,https://en.wikipedia.org/wiki/Cardinal_Health_Inc.,Cardinal Health
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,1170010,,https://en.wikipedia.org/wiki/Carmax_Inc,CarMax
CCL,Carnival Corp.,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/1998,815097,,https://en.wikipedia.org/wiki/Carnival_Corp.,Carnival Corporation & plc
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",,18230,1925,https://en.wikipedia.org/wiki/Caterpillar_Inc.,Caterpillar Inc.
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1374310,,https://en.wikipedia.org/wiki/Cboe_Global_Markets,Cboe Global Markets
CBRE,CBRE Group,reports,Real Estate,Real Estate Services,"Los Angeles, California",11/10/2006,1138118,,https://en.wikipedia.org/wiki/CBRE_Group,CBRE Group
CDW,CDW,reports,Information Technology,Technology Distributors,"Lincolnshire, Illinois",9/23/2019,1402057,1984,https://en.wikipedia.org/wiki/CDW,CDW
CE,Celanese,reports,Materials,Specialty Chemicals,"Irving, Texas",12/24/2018,1306830,,https://en.wikipedia.org/wiki/Celanese,Celanese
CNC,Centene Corporation,reports,Health Care,Managed Health Care,"St Louis, Missouri",3/30/2016,1071739,,https://en.wikipedia.org/wiki/Centene_Corporation,Centene Corporation
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities,"Houston, Texas",7/31/1985,1130310,,https://en.wikipedia.org/wiki/CenterPoint_Energy,CenterPoint Energy
CERN,Cerner,reports,Health Care,Health Care Technology,"North Kansas City, Missouri",4/30/2010,804753,,https://en.wikipedia.org/wiki/Cerner,Cerner
CF,CF Industries Holdings Inc,reports,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",8/27/2008,1324404,,https://en.wikipedia.org/wiki/CF_Industries_Holdings_Inc,CF Industries
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,316709,,https://en.wikipedia.org/wiki/Charles_Schwab_Corporation,Charles Schwab Corporation
CVX,Chevron Corp.,reports,Energy,Integrated Oil & Gas,"San Ramon, California",,93410,1879,https://en.wikipedia.org/wiki/Chevron_Corp.,Chevron Corporation
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants,"Newport Beach, California",4/28/2011,1058090,,https://en.wikipedia.org/wiki/Chipotle_Mexican_Grill,Chipotle Mexican Grill
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance,"Zurich, Switzerland",7/15/2010,896159,,https://en.wikipedia.org/wiki/Chubb_Limited,Chubb Limited
CHD,Church & Dwight,reports,Consumer Staples,Household Products,"Ewing, New Jersey",12/29/2015,313927,,https://en.wikipedia.org/wiki/Church_%26_Dwight,Church & Dwight
CI,CIGNA Corp.,reports,Health Care,Managed Health Care,"Bloomfield, Connecticut",6/30/1976,701221,,https://en.wikipedia.org/wiki/CIGNA_Corp.,Cigna
XEC,Cimarex Energy,reports,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",6/21/2014,1168054,,https://en.wikipedia.org/wiki/Cimarex_Energy,Cimarex Energy
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/1997,20286,,https://en.wikipedia.org/wiki/Cincinnati_Financial,Cincinnati Financial
CTAS,Cintas Corporation,reports,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,723254,,https://en.wikipedia.org/wiki/Cintas_Corporation,Cintas
CSCO,Cisco Systems,reports,Information Technology,Communications Equipment,"San Jose, California",12/1/1993,858877,,https://en.wikipedia.org/wiki/Cisco_Systems,Cisco Systems
C,Citigroup Inc.,reports,Financials,Diversified Banks,"New York, New York",5/31/1988,831001,,https://en.wikipedia.org/wiki/Citigroup_Inc.,Citigroup
CFG,Citizens Financial Group,reports,Financials,Regional Banks,"Providence, Rhode Island",1/29/2016,759944,,https://en.wikipedia.org/wiki/Citizens_Financial_Group,Citizens
CTXS,Citrix Systems,reports,Information Technology,Application Software,"Fort Lauderdale, Florida",12/1/1999,877890,,https://en.wikipedia.org/wiki/Citrix_Systems,Citrix Systems
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",3/31/1969,21076,1913,https://en.wikipedia.org/wiki/The_Clorox_Company,Clorox
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",8/11/2006,1156375,,https://en.wikipedia.org/wiki/CME_Group_Inc.,CME Group
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/2006,1058290,,https://en.wikipedia.org/wiki/Cognizant_Technology_Solutions,Cognizant Technology Solutions
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",,21665,1806,https://en.wikipedia.org/wiki/Colgate-Palmolive,Colgate-Palmolive
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",9/18/2015,1166691,,https://en.wikipedia.org/wiki/Comcast_Corp.,Comcast
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",12/1/1995,28412,,https://en.wikipedia.org/wiki/Comerica_Inc.,Comerica
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/1983,23217,,https://en.wikipedia.org/wiki/Conagra_Brands,Conagra Brands
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2/22/2016,1358071,,https://en.wikipedia.org/wiki/Concho_Resources,Concho
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,1163165,2002,https://en.wikipedia.org/wiki/ConocoPhillips,ConocoPhillips
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",,1047862,1823,https://en.wikipedia.org/wiki/Consolidated_Edison,Consolidated Edison
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,16918,,https://en.wikipedia.org/wiki/Constellation_Brands,Constellation Brands
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,811156,,https://en.wikipedia.org/wiki/CMS_Energy,Consumers Energy
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,900075,,https://en.wikipedia.org/wiki/Copart_Inc,Copart
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",,24741,1851,https://en.wikipedia.org/wiki/Corning_Inc.,Corning Inc.
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,1755672,2019,https://en.wikipedia.org/wiki/Corteva,Corteva
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",10/1/1993,909832,,https://en.wikipedia.org/wiki/Costco_Wholesale_Corp.,Costco
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/2008,858470,,https://en.wikipedia.org/wiki/Cabot_Oil_%26_Gas,Coterra
COTY,"Coty, Inc",reports,Consumer Staples,Personal Products,"New York, New York",10/3/2016,1024305,,"https://en.wikipedia.org/wiki/Coty,_Inc",Coty Inc.
CCI,Crown Castle International Corp.,reports,Real Estate,Specialized REITs,"Houston, Texas",3/14/2012,1051470,,https://en.wikipedia.org/wiki/Crown_Castle_International_Corp.,Crown Castle
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",9/30/1967,277948,1980,https://en.wikipedia.org/wiki/CSX_Corp.,CSX Corporation
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",3/31/1965,26172,1919,https://en.wikipedia.org/wiki/Cummins_Inc.,Cummins
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",,64803,1996,https://en.wikipedia.org/wiki/CVS_Health,CVS Health
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",,882184,1978,https://en.wikipedia.org/wiki/D._R._Horton,D.R. Horton
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",,313616,1969,https://en.wikipedia.org/wiki/Danaher_Corp.,Danaher Corporation
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,https://en.wikipedia.org/wiki/Darden_Restaurants,Darden Restaurants
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",7/31/2008,927066,,https://en.wikipedia.org/wiki/DaVita_Inc.,DaVita Inc.
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",9/11/2013,27904,,https://en.wikipedia.org/wiki/Delta_Air_Lines_Inc.,Delta Air Lines
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"York, Pennsylvania",11/14/2008,818479,,https://en.wikipedia.org/wiki/Dentsply_Sirona,Dentsply Sirona
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",8/30/2000,1090012,,https://en.wikipedia.org/wiki/Devon_Energy,Devon Energy
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",12/3/2018,1539838,2007,https://en.wikipedia.org/wiki/Diamondback_Energy,Diamondback Energy
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"San Francisco, California",5/18/2016,1297996,,https://en.wikipedia.org/wiki/Digital_Realty_Trust,Digital Realty
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1393612,,https://en.wikipedia.org/wiki/Discover_Financial_Services,Discover Financial
DISCA,Discovery Inc. Class A,reports,Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1437107,,"https://en.wikipedia.org/wiki/Discovery,_Inc.","Discovery, Inc."
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",3/13/2017,1001082,,https://en.wikipedia.org/wiki/Dish_Network,Dish Network
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",12/3/2012,29534,,https://en.wikipedia.org/wiki/Dollar_General,Dollar General
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",12/19/2011,935703,,https://en.wikipedia.org/wiki/Dollar_Tree,Dollar Tree
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",,715957,1983,https://en.wikipedia.org/wiki/Dominion_Energy,Dominion Energy
DOV,Dover Corp.,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",10/31/1985,29905,,https://en.wikipedia.org/wiki/Dover_Corp.,Dover Corporation
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,1751788,2019,https://en.wikipedia.org/wiki/Dow_Inc.,Dow Inc.
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",,936340,1995,https://en.wikipedia.org/wiki/DTE_Energy_Co.,DTE Energy
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",6/30/1976,1326160,,https://en.wikipedia.org/wiki/Duke_Energy,Duke Energy
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/2017,783280,,https://en.wikipedia.org/wiki/Duke_Realty_Corp,Duke Realty
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Midland, Michigan",,1666700,2017,https://en.wikipedia.org/wiki/DuPont_de_Nemours_Inc,DuPont
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,1688568,,https://en.wikipedia.org/wiki/DXC_Technology,DXC Technology
EMN,Eastman Chemical,reports,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,915389,,https://en.wikipedia.org/wiki/Eastman_Chemical,Eastman Chemical Company
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1551182,1911,https://en.wikipedia.org/wiki/Eaton_Corporation,Eaton Corporation
EBAY,eBay Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1065088,1995,https://en.wikipedia.org/wiki/EBay_Inc.,eBay
