Symbol,Company Name,Date,TobinsQ
ALXN,Alexion Pharmaceuticals,29-12-17,1.965976383
ALXN,Alexion Pharmaceuticals,30-12-16,2.067939334
ALXN,Alexion Pharmaceuticals,31-12-15,3.268822293
ALXN,Alexion Pharmaceuticals,31-12-14,8.778700481
ALXN,Alexion Pharmaceuticals,31-12-13,7.922382445
ALGN,Align Technology,30-12-22,2.792641562
ALGN,Align Technology,31-12-21,8.708635074
ALGN,Align Technology,31-12-20,8.740950493
ALGN,Align Technology,31-12-19,8.769662151
ALGN,Align Technology,31-12-18,8.148804896
ALGN,Align Technology,29-12-17,10.00810819
ALGN,Align Technology,30-12-16,5.498371795
ALGN,Align Technology,31-12-15,4.537132422
ALLE,Allegion,30-12-22,2.372539551
ALLE,Allegion,31-12-21,3.832794566
ALLE,Allegion,31-12-20,3.442588872
ALLE,Allegion,31-12-19,3.894763511
ALLE,Allegion,31-12-18,2.683312553
ALLE,Allegion,29-12-17,2.98103148
ALLE,Allegion,30-12-16,2.72619525
ALLE,Allegion,31-12-15,2.771229178
AGN,Allergan,31-12-19,0.670009778
AGN,Allergan,31-12-18,0.435958015
AGN,Allergan,29-12-17,0.461400044
AGN,Allergan,30-12-16,0.626674386
AGN,Allergan,31-12-15,0.909959213
AGN,Allergan,31-12-14,1.790618863
AGN,Allergan,31-12-13,1.292933204
LNT,Alliant Energy,30-12-22,0.687557953
LNT,Alliant Energy,31-12-21,0.830290627
LNT,Alliant Energy,31-12-20,0.735722444
LNT,Alliant Energy,31-12-19,0.810484889
LNT,Alliant Energy,31-12-18,0.656254105
LNT,Alliant Energy,29-12-17,0.699718111
LNT,Alliant Energy,30-12-16,0.654039533
LNT,Alliant Energy,31-12-15,0.575983311
ALL,Allstate,30-12-22,0.374938521
ALL,Allstate,31-12-21,0.337190768
ALL,Allstate,31-12-20,0.263946479
ALL,Allstate,31-12-19,0.297554231
ALL,Allstate,31-12-18,0.244837264
ALL,Allstate,29-12-17,0.332975974
ALL,Allstate,30-12-16,0.25441429
ALL,Allstate,31-12-15,0.224318042
MO,Altria,30-12-22,2.258220179
MO,Altria,31-12-21,2.179870455
MO,Altria,31-12-20,1.608709432
MO,Altria,31-12-19,1.885809167
MO,Altria,31-12-18,1.663614566
MO,Altria,29-12-17,3.175504294
MO,Altria,30-12-16,2.854736223
MO,Altria,31-12-15,3.498824903
AMZN,Amazon,30-12-22,1.849842762
AMZN,Amazon,31-12-21,4.035627382
AMZN,Amazon,31-12-20,5.110579928
AMZN,Amazon,31-12-19,4.085382867
AMZN,Amazon,31-12-18,4.534130576
AMZN,Amazon,29-12-17,4.274964588
AMZN,Amazon,30-12-16,4.279730942
AMZN,Amazon,31-12-15,4.864375497
AMCR,Amcor,30-12-22,1.010844705
AMCR,Amcor,31-12-21,1.053705563
AMCR,Amcor,31-12-20,1.112987076
AMCR,Amcor,31-12-19,1.01031668
AMCR,Amcor,31-12-18,1.203363362
AMCR,Amcor,29-12-17,1.516389306
AMCR,Amcor,30-12-16,1.418961793
AMCR,Amcor,31-12-15,1.332713515
AMCR,Amcor,31-12-14,1.497207904
AMCR,Amcor,31-12-13,0.997019414
AEE,Ameren,30-12-22,0.609905281
AEE,Ameren,31-12-21,0.644713784
AEE,Ameren,31-12-20,0.622756648
AEE,Ameren,31-12-19,0.657272064
AEE,Ameren,31-12-18,0.590064899
AEE,Ameren,29-12-17,0.554624424
AEE,Ameren,30-12-16,0.518255324
AEE,Ameren,31-12-15,0.446318751
AAL,American Airlines Group,30-12-22,0.127943749
AAL,American Airlines Group,31-12-21,0.175501736
AAL,American Airlines Group,31-12-20,0.161395045
AAL,American Airlines Group,31-12-19,0.203507773
AAL,American Airlines Group,31-12-18,0.239553427
AAL,American Airlines Group,29-12-17,0.495198127
AAL,American Airlines Group,30-12-16,0.468567305
AAL,American Airlines Group,31-12-15,0.530300026
AEP,American Electric Power,30-12-22,0.700814639
AEP,American Electric Power,31-12-21,0.515012652
AEP,American Electric Power,31-12-20,0.513947874
AEP,American Electric Power,31-12-19,0.618219103
AEP,American Electric Power,31-12-18,0.536119752
AEP,American Electric Power,29-12-17,0.559218019
AEP,American Electric Power,30-12-16,0.487741337
AEP,American Electric Power,31-12-15,0.46403328
AXP,American Express,30-12-22,0.511292763
AXP,American Express,31-12-21,0.656836455
AXP,American Express,31-12-20,0.507985389
AXP,American Express,31-12-19,0.506569804
AXP,American Express,31-12-18,0.425043849
AXP,American Express,29-12-17,0.484053953
AXP,American Express,30-12-16,0.434988577
AXP,American Express,31-12-15,0.414666158
AIG,American International Group,30-12-22,0.093897608
AIG,American International Group,31-12-21,0.078251977
AIG,American International Group,31-12-20,0.056120199
AIG,American International Group,31-12-19,0.085748818
AIG,American International Group,31-12-18,0.070257267
AIG,American International Group,29-12-17,0.108677518
AIG,American International Group,30-12-16,0.143174424
AIG,American International Group,31-12-15,0.144384785
AMT,American Tower,30-12-22,1.634303142
AMT,American Tower,31-12-21,2.021780666
AMT,American Tower,31-12-20,2.133710752
AMT,American Tower,31-12-19,2.403376719
AMT,American Tower,31-12-18,2.151740681
AMT,American Tower,29-12-17,1.875156144
AMT,American Tower,30-12-16,1.465071227
AMT,American Tower,31-12-15,1.531584262
AWK,American Water,30-12-22,0.998324396
AWK,American Water,31-12-21,1.31821745
AWK,American Water,31-12-20,1.121621174
AWK,American Water,31-12-19,0.980330218
AWK,American Water,31-12-18,0.774130425
AWK,American Water,29-12-17,0.835911097
AWK,American Water,30-12-16,0.696898604
AWK,American Water,31-12-15,0.616872571
AMP,Ameriprise Financial,30-12-22,0.213975017
AMP,Ameriprise Financial,31-12-21,0.194902471
AMP,Ameriprise Financial,31-12-20,0.140344303
AMP,Ameriprise Financial,31-12-19,0.13868135
AMP,Ameriprise Financial,31-12-18,0.105574831
AMP,Ameriprise Financial,29-12-17,0.173526616
AMP,Ameriprise Financial,30-12-16,0.131949578
AMP,Ameriprise Financial,31-12-15,0.127419926
ABC,AmerisourceBergen,30-12-22,0.60077246
ABC,AmerisourceBergen,31-12-21,0.488031278
ABC,AmerisourceBergen,31-12-20,0.454299624
ABC,AmerisourceBergen,31-12-19,0.447045305
ABC,AmerisourceBergen,31-12-18,0.417905748
ABC,AmerisourceBergen,29-12-17,0.567622355
ABC,AmerisourceBergen,30-12-16,0.50799269
ABC,AmerisourceBergen,31-12-15,0.777214853
AME,Ametek,30-12-22,2.597658695
AME,Ametek,31-12-21,2.860685098
AME,Ametek,31-12-20,2.690693183
AME,Ametek,31-12-19,2.319725026
AME,Ametek,31-12-18,1.773029216
AME,Ametek,29-12-17,2.145172474
AME,Ametek,30-12-16,1.59196434
AME,Ametek,31-12-15,1.889516436
AMGN,Amgen,30-12-22,2.169811889
AMGN,Amgen,31-12-21,2.015589962
AMGN,Amgen,31-12-20,2.107514774
AMGN,Amgen,31-12-19,2.382154521
AMGN,Amgen,31-12-18,1.823126054
AMGN,Amgen,29-12-17,1.574700453
AMGN,Amgen,30-12-16,1.40887177
AMGN,Amgen,31-12-15,1.707758047
APH,Amphenol,30-12-22,2.970656952
APH,Amphenol,31-12-21,3.583743776
APH,Amphenol,31-12-20,3.191840534
APH,Amphenol,31-12-19,2.994306951
APH,Amphenol,31-12-18,2.415761825
APH,Amphenol,29-12-17,2.694805182
APH,Amphenol,30-12-16,2.453251287
APH,Amphenol,31-12-15,2.165659904
ADI,Analog Devices,30-12-22,1.653661462
ADI,Analog Devices,31-12-21,1.764654902
ADI,Analog Devices,31-12-20,2.540563966
ADI,Analog Devices,31-12-19,2.04564553
ADI,Analog Devices,31-12-18,1.547487554
ADI,Analog Devices,29-12-17,1.554320648
ADI,Analog Devices,30-12-16,2.813457613
ADI,Analog Devices,31-12-15,2.437449625
ANSS,Ansys,30-12-22,3.100815811
ANSS,Ansys,31-12-21,5.525718147
ANSS,Ansys,31-12-20,5.316096617
ANSS,Ansys,31-12-19,4.564120464
ANSS,Ansys,31-12-18,3.666061892
ANSS,Ansys,29-12-17,4.264101457
ANSS,Ansys,30-12-16,2.846769864
ANSS,Ansys,31-12-15,2.985652609
AON,Aon,30-12-22,1.94882953
AON,Aon,31-12-21,2.071427027
AON,Aon,31-12-20,1.498139543
AON,Aon,31-12-19,1.65603723
AON,Aon,31-12-18,1.335895576
AON,Aon,29-12-17,1.331091727
AON,Aon,30-12-16,1.115419543
AON,Aon,31-12-15,0.924243074
APA,Apache,30-12-22,1.225707975
APA,Apache,31-12-21,0.794325963
APA,Apache,31-12-20,0.456417631
APA,Apache,31-12-19,0.572469669
APA,Apache,31-12-18,0.495979899
APA,Apache,29-12-17,0.782879252
APA,Apache,30-12-16,1.144254673
APA,Apache,31-12-15,0.978443539
AAPL,Apple Inc.,30-12-22,5.853755438
AAPL,Apple Inc.,31-12-21,8.235357266
AAPL,Apple Inc.,31-12-20,6.863541503
AAPL,Apple Inc.,31-12-19,3.782224943
AAPL,Apple Inc.,31-12-18,2.015962703
AAPL,Apple Inc.,29-12-17,2.305378024
AAPL,Apple Inc.,30-12-16,1.907732749
AAPL,Apple Inc.,31-12-15,1.998229628
AMAT,Applied Materials,30-12-22,3.078878246
AMAT,Applied Materials,31-12-21,5.416961859
AMAT,Applied Materials,31-12-20,3.532613072
AMAT,Applied Materials,31-12-19,2.939058032
AMAT,Applied Materials,31-12-18,1.762908907
AMAT,Applied Materials,29-12-17,2.779891858
AMAT,Applied Materials,30-12-16,2.384635317
AMAT,Applied Materials,31-12-15,1.39768879
APTV,Aptiv,30-12-22,1.167140868
APTV,Aptiv,31-12-21,2.480524824
APTV,Aptiv,31-12-20,2.009969747
APTV,Aptiv,31-12-19,1.802941132
APTV,Aptiv,31-12-18,1.278169519
APTV,Aptiv,29-12-17,1.853167041
APTV,Aptiv,30-12-16,1.181776696
APTV,Aptiv,31-12-15,1.556074612
ARNC,Arconic,30-12-22,0.364451538
ARNC,Arconic,31-12-21,0.52988943
ARNC,Arconic,31-12-20,0.519537907
ANET,Arista Networks,30-12-22,5.483470181
ANET,Arista Networks,31-12-21,7.722036274
ANET,Arista Networks,31-12-20,4.678753619
ANET,Arista Networks,31-12-19,3.706337578
ANET,Arista Networks,31-12-18,5.19027652
ANET,Arista Networks,29-12-17,6.917313313
ANET,Arista Networks,30-12-16,3.849012566
ANET,Arista Networks,31-12-15,4.545817345
AJG,Arthur J. Gallagher & Co.,30-12-22,1.025687059
AJG,Arthur J. Gallagher & Co.,31-12-21,1.065064231
AJG,Arthur J. Gallagher & Co.,31-12-20,1.08051469
AJG,Arthur J. Gallagher & Co.,31-12-19,0.918123878
AJG,Arthur J. Gallagher & Co.,31-12-18,0.836194457
AJG,Arthur J. Gallagher & Co.,29-12-17,0.8876265
AJG,Arthur J. Gallagher & Co.,30-12-16,0.807147396
AJG,Arthur J. Gallagher & Co.,31-12-15,0.667157809
AIZ,Assurant,30-12-22,0.201670994
AIZ,Assurant,31-12-21,0.256366465
AIZ,Assurant,31-12-20,0.947681599
AIZ,Assurant,31-12-19,0.179473307
AIZ,Assurant,31-12-18,0.136324223
AIZ,Assurant,29-12-17,0.171125528
AIZ,Assurant,30-12-16,0.179735602
AIZ,Assurant,31-12-15,0.174485884
T,AT&T,30-12-22,0.335019599
T,AT&T,31-12-21,0.249915163
T,AT&T,31-12-20,0.30608775
T,AT&T,31-12-19,0.397290796
T,AT&T,31-12-18,0.301949161
T,AT&T,29-12-17,0.408578359
T,AT&T,30-12-16,0.491269881
T,AT&T,31-12-15,0.399316353
ATO,Atmos Energy,30-12-22,0.711637026
ATO,Atmos Energy,31-12-21,0.731110475
ATO,Atmos Energy,31-12-20,0.802513741
ATO,Atmos Energy,31-12-19,1.02855892
ATO,Atmos Energy,31-12-18,0.918115976
ATO,Atmos Energy,29-12-17,0.867433712
ATO,Atmos Energy,30-12-16,0.779831701
ATO,Atmos Energy,31-12-15,0.713708907
ADSK,Autodesk,30-12-22,4.689770879
ADSK,Autodesk,31-12-21,8.466832605
ADSK,Autodesk,31-12-20,10.85611606
ADSK,Autodesk,31-12-19,8.522828808
ADSK,Autodesk,31-12-18,6.8531972
ADSK,Autodesk,29-12-17,4.795686834
ADSK,Autodesk,30-12-16,2.966948489
AZO,AutoZone,30-12-22,3.068710396
AZO,AutoZone,31-12-21,3.270762596
AZO,AutoZone,31-12-20,1.937123458
AZO,AutoZone,31-12-19,3.029584785
AZO,AutoZone,31-12-18,2.415019914
AZO,AutoZone,29-12-17,2.123251518
AZO,AutoZone,30-12-16,2.627127014
AVB,AvalonBay Communities,30-12-22,1.10885692
AVB,AvalonBay Communities,31-12-21,1.771249513
AVB,AvalonBay Communities,31-12-20,1.166626291
